Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
82,Lew Hitch,PF,23,MNL,70,,1027,89,255,.349,,,,89,255,.349,.349,83,136,.610,,,275,66,,,,122,261
83,Whitey Skoog,SG,26,MNL,68,,996,102,264,.386,,,,102,264,.386,.386,46,61,.754,,,121,82,,,,137,250
84,Ed Mikan,C,27,TOT,62,,927,78,292,.267,,,,78,292,.267,.267,79,98,.806,,,237,39,,,,124,235
85,Bob Lochmueller,SF,25,SYR,62,,802,79,245,.322,,,,79,245,.322,.322,74,122,.607,,,162,47,,,,143,232
86,Cal Christensen,SF,25,ROC,59,,777,72,230,.313,,,,72,230,.313,.313,68,114,.596,,,199,54,,,,148,212
87,John Mahnken,C,30,BOS,69,,771,76,252,.302,,,,76,252,.302,.302,39,56,.696,,,182,75,,,,110,191
88,Ralph Polson,PF,23,TOT,49,,810,65,179,.363,,,,65,179,.363,.363,61,96,.635,,,211,24,,,,102,191
89,Kevin O'Shea,SG,27,BLB,46,,643,71,189,.376,,,,71,189,.376,.376,48,81,.593,,,76,87,,,,82,190
90,Zeke Zawoluk,PF,22,INO,41,,622,55,150,.367,,,,55,150,.367,.367,77,116,.664,,,146,31,,,,83,187
91,Bill Mlkvy,SF,22,PHW,31,,608,75,246,.305,,,,75,246,.305,.305,31,48,.646,,,101,62,,,,54,181
92,Frank Kudelka,SG,27,TOT,36,,567,59,193,.306,,,,59,193,.306,.306,44,68,.647,,,88,70,,,,109,162
93,Al Cervi*,PG,35,SYR,38,,301,31,71,.437,,,,31,71,.437,.437,81,100,.810,,,22,28,,,,90,143
94,Jim Mooney,SF,22,PHW,18,,529,54,148,.365,,,,54,148,.365,.365,27,40,.675,,,70,35,,,,50,135
95,George Kaftan,SF,24,BLB,23,,380,45,142,.317,,,,45,142,.317,.317,44,67,.657,,,75,31,,,,59,134
96,Don Otten,C,31,MLH,24,,384,34,87,.391,,,,34,87,.391,.391,64,91,.703,,,89,21,,,,68,132
97,Jake Fendley,PG,23,FTW,45,,380,32,80,.400,,,,32,80,.400,.400,40,60,.667,,,46,36,,,,82,104
98,Red Holzman*,PG,32,ROC,46,,392,38,149,.255,,,,38,149,.255,.255,27,38,.711,,,40,35,,,,56,103
99,Kenny Rollins,PG,29,BOS,43,,426,38,115,.330,,,,38,115,.330,.330,22,27,.815,,,45,46,,,,63,98
100,Dick Bunt,PG,22,TOT,26,,271,29,105,.276,,,,29,105,.276,.276,34,48,.708,,,28,17,,,,40,92
101,Howie Schultz,PF,30,MNL,40,,474,24,90,.267,,,,24,90,.267,.267,43,62,.694,,,80,29,,,,73,91
102,Gene Conley,PF,22,BOS,39,,461,35,108,.324,,,,35,108,.324,.324,18,31,.581,,,171,19,,,,74,88
103,Jim Brasco,G,21,TOT,20,,248,25,94,.266,,,,25,94,.266,.266,27,34,.794,,,24,21,,,,30,77
104,Bucky McConnell,PG,24,MLH,14,,297,27,71,.380,,,,27,71,.380,.380,14,29,.483,,,34,41,,,,39,68
105,Claude Overton,SG,25,PHW,15,,182,19,75,.253,,,,19,75,.253,.253,20,30,.667,,,25,15,,,,25,58
106,Dick Surhoff,SF,23,NYK,26,,187,13,61,.213,,,,13,61,.213,.213,19,30,.633,,,25,9,,,,36,45
107,Bob Priddy,F,22,BLB,16,,149,14,38,.368,,,,14,38,.368,.368,8,14,.571,,,36,7,,,,36,36
108,Don Hanrahan,F,23,INO,18,,121,11,32,.344,,,,11,32,.344,.344,11,15,.733,,,30,11,,,,24,33
109,John O'Boyle,SG,24,MLH,5,,97,8,26,.308,,,,8,26,.308,.308,5,7,.714,,,10,5,,,,20,21
110,George Feigenbaum,PG,24,MLH,5,,79,4,22,.182,,,,4,22,.182,.182,8,15,.533,,,7,9,,,,14,16
111,Moe Radovich,PG,23,PHW,4,,33,5,13,.385,,,,5,13,.385,.385,4,4,1.000,,,1,8,,,,5,14
112,Mo Mahoney,F,25,BOS,6,,34,4,10,.400,,,,4,10,.400,.400,4,5,.800,,,7,1,,,,7,12
113,George McLeod,F,22,BLB,10,,85,2,16,.125,,,,2,16,.125,.125,8,15,.533,,,21,4,,,,16,12
114,Mike O'Neill,SF,24,MLH,4,,50,4,17,.235,,,,4,17,.235,.235,4,4,1.000,,,9,3,,,,10,12
115,Ray Corley,G,25,FTW,8,,65,3,24,.125,,,,3,24,.125,.125,5,6,.833,,,5,5,,,,18,11
116,Pete Darcey,C,22,MLH,12,,90,3,18,.167,,,,3,18,.167,.167,5,9,.556,,,10,2,,,,29,11
117,Kleggie Hermsen,C-F,29,TOT,10,,62,4,31,.129,,,,4,31,.129,.129,3,5,.600,,,19,4,,,,18,11
118,Sherwin Raiken,G,24,NYK,6,,63,3,21,.143,,,,3,21,.143,.143,3,8,.375,,,8,6,,,,10,9
119,Ralph Johnson,PG,31,FTW,3,,30,3,9,.333,,,,3,9,.333,.333,2,3,.667,,,1,5,,,,6,8
120,Andrew Levane,SG,32,MLH,7,,68,3,24,.125,,,,3,24,.125,.125,2,3,.667,,,9,9,,,,15,8
121,Jack Kiley,SG,24,FTW,6,,27,2,10,.200,,,,2,10,.200,.200,2,2,1.000,,,2,3,,,,7,6
122,Jack McCloskey,SG,27,PHW,1,,16,3,9,.333,,,,3,9,.333,.333,0,0,,,,3,1,,,,2,6
123,Blaine Denning,G,22,BLB,1,,9,2,5,.400,,,,2,5,.400,.400,1,1,1.000,,,4,0,,,,3,5
124,Bob Naber,F,23,INO,4,,11,0,4,.000,,,,0,4,.000,.000,1,2,.500,,,5,1,,,,6,1
