Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Bob Pettit*,C,23,STL,72,,2794,646,1507,.429,,,,646,1507,.429,.429,557,757,.736,,,1164,189,,,,202,1849
2,Paul Arizin*,SF,27,PHW,72,,2724,617,1378,.448,,,,617,1378,.448,.448,507,626,.810,,,539,189,,,,282,1741
3,Neil Johnston*,C,26,PHW,70,,2594,499,1092,.457,,,,499,1092,.457,.457,549,685,.801,,,872,225,,,,251,1547
4,Clyde Lovellette*,C,26,MNL,71,,2518,594,1370,.434,,,,594,1370,.434,.434,338,469,.721,,,992,164,,,,245,1526
5,Dolph Schayes*,PF,27,SYR,72,,2517,465,1202,.387,,,,465,1202,.387,.387,542,632,.858,,,891,200,,,,251,1472
6,Bill Sharman*,SG,29,BOS,72,,2698,538,1229,.438,,,,538,1229,.438,.438,358,413,.867,,,259,339,,,,197,1434
7,Bob Cousy*,PG,27,BOS,72,,2767,440,1223,.360,,,,440,1223,.360,.360,476,564,.844,,,492,642,,,,206,1356
8,Ed Macauley*,C,27,BOS,71,,2354,420,995,.422,,,,420,995,.422,.422,400,504,.794,,,422,211,,,,158,1240
9,George Yardley*,SF,27,FTW,71,,2353,434,1067,.407,,,,434,1067,.407,.407,365,492,.742,,,686,159,,,,212,1233
10,Larry Foust,C,27,FTW,72,,2024,367,821,.447,,,,367,821,.447,.447,432,555,.778,,,648,127,,,,263,1166
11,Maurice Stokes*,C,22,ROC,67,,2323,403,1137,.354,,,,403,1137,.354,.354,319,447,.714,,,1094,328,,,,276,1125
12,Carl Braun*,SG,28,NYK,72,,2316,396,1064,.372,,,,396,1064,.372,.372,320,382,.838,,,259,298,,,,215,1112
13,Jack Twyman*,SF,21,ROC,72,,2186,417,987,.422,,,,417,987,.422,.422,204,298,.685,,,466,171,,,,239,1038
14,Joe Graboski,PF,26,PHW,72,,2375,397,1075,.369,,,,397,1075,.369,.369,240,340,.706,,,642,190,,,,272,1034
15,Harry Gallatin*,SF,28,NYK,72,,2378,322,834,.386,,,,322,834,.386,.386,358,455,.787,,,740,168,,,,220,1002
16,Jack George,PG,27,PHW,72,,2840,352,940,.374,,,,352,940,.374,.374,296,391,.757,,,313,457,,,,202,1000
17,Chuck Share,C,28,STL,72,,1975,315,733,.430,,,,315,733,.430,.430,346,498,.695,,,774,131,,,,318,976
18,Vern Mikkelsen*,PF,27,MNL,72,,2100,317,821,.386,,,,317,821,.386,.386,328,408,.804,,,608,173,,,,319,962
19,Red Kerr,C,23,SYR,72,,2114,377,935,.403,,,,377,935,.403,.403,207,316,.655,,,607,84,,,,168,961
20,Jack Coleman,PF,31,TOT,75,,2738,390,946,.412,,,,390,946,.412,.412,177,249,.711,,,688,294,,,,242,957
