Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Paul Arizin*,SF,28,PHW,71,,2767,613,1451,.422,,,,613,1451,.422,.422,591,713,.829,,,561,150,,,,274,1817
2,Bob Pettit*,C,24,STL,71,,2491,613,1477,.415,,,,613,1477,.415,.415,529,684,.773,,,1037,133,,,,181,1755
3,Dolph Schayes*,PF,28,SYR,72,,2851,496,1308,.379,,,,496,1308,.379,.379,625,691,.904,,,1008,229,,,,219,1617
4,Neil Johnston*,C,27,PHW,69,,2531,520,1163,.447,,,,520,1163,.447,.447,535,648,.826,,,855,203,,,,231,1575
5,George Yardley*,SF,28,FTW,72,,2691,522,1273,.410,,,,522,1273,.410,.410,503,639,.787,,,755,147,,,,231,1547
6,Clyde Lovellette*,C,27,MNL,69,,2492,574,1348,.426,,,,574,1348,.426,.426,286,399,.717,,,932,139,,,,251,1434
7,Bill Sharman*,SG,30,BOS,67,,2403,516,1241,.416,,,,516,1241,.416,.416,381,421,.905,,,286,236,,,,188,1413
8,Bob Cousy*,PG,28,BOS,64,,2364,478,1264,.378,,,,478,1264,.378,.378,363,442,.821,,,309,478,,,,134,1319
9,Ed Macauley*,PF,28,STL,72,,2582,414,987,.419,,,,414,987,.419,.419,359,479,.749,,,440,202,,,,206,1187
10,Dick Garmaker,SG,24,MNL,72,,2406,406,1015,.400,,,,406,1015,.400,.400,365,435,.839,,,336,190,,,,199,1177
11,Jack Twyman*,SG,22,ROC,72,,2338,449,1023,.439,,,,449,1023,.439,.439,276,363,.760,,,354,123,,,,251,1174
12,Tom Heinsohn*,PF,22,BOS,72,,2150,446,1123,.397,,,,446,1123,.397,.397,271,343,.790,,,705,117,,,,304,1163
13,Maurice Stokes*,PF,23,ROC,72,,2761,434,1249,.347,,,,434,1249,.347,.347,256,385,.665,,,1256,331,,,,287,1124
14,Harry Gallatin*,PF,29,NYK,72,,1943,332,817,.406,,,,332,817,.406,.406,415,519,.800,,,725,85,,,,202,1079
15,Kenny Sears,SF,23,NYK,72,,2516,343,821,.418,,,,343,821,.418,.418,383,485,.790,,,614,101,,,,226,1069
16,Joe Graboski,PF,27,PHW,72,,2501,390,1118,.349,,,,390,1118,.349,.349,252,322,.783,,,614,140,,,,244,1032
17,Carl Braun*,PG,29,NYK,72,,2345,378,993,.381,,,,378,993,.381,.381,245,303,.809,,,259,256,,,,195,1001
18,Vern Mikkelsen*,PF,28,MNL,72,,2198,322,854,.377,,,,322,854,.377,.377,342,424,.807,,,630,121,,,,312,986
19,Ed Conlin,SG,23,SYR,71,,2250,335,896,.374,,,,335,896,.374,.374,283,368,.769,,,430,205,,,,170,953
20,Red Kerr,C,24,SYR,72,,2191,333,827,.403,,,,333,827,.403,.403,225,313,.719,,,807,90,,,,190,891
21,Mel Hutchins,PF,28,FTW,72,,2647,369,953,.387,,,,369,953,.387,.387,152,206,.738,,,571,210,,,,182,890
22,Ray Felix,C,26,NYK,72,,1622,295,709,.416,,,,295,709,.416,.416,277,371,.747,,,587,36,,,,284,867
23,Dick Ricketts,C,23,ROC,72,,2114,299,869,.344,,,,299,869,.344,.344,206,297,.694,,,437,127,,,,307,804
24,Slick Leonard*,PG,24,MNL,72,,1943,303,867,.349,,,,303,867,.349,.349,186,241,.772,,,220,169,,,,140,792
25,Gene Shue,PG,25,FTW,72,,2470,273,710,.385,,,,273,710,.385,.385,241,316,.763,,,421,238,,,,137,787
26,Nat Clifton*,PF,34,NYK,71,,2231,308,818,.377,,,,308,818,.377,.377,146,217,.673,,,557,164,,,,243,762
27,Larry Foust,C,28,FTW,61,,1533,243,617,.394,,,,243,617,.394,.394,273,380,.718,,,555,71,,,,221,759
28,Jack Coleman,PF,32,STL,72,,2145,316,775,.408,,,,316,775,.408,.408,123,161,.764,,,645,159,,,,235,755
29,Jim Loscutoff,SF,26,BOS,70,,2220,306,888,.345,,,,306,888,.345,.345,132,187,.706,,,730,89,,,,244,744
30,Chuck Share,C,29,STL,72,,1673,235,535,.439,,,,235,535,.439,.439,269,393,.684,,,642,79,,,,269,739
