Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Bob McAdoo*,C,24,BUF,78,,3328,934,1918,.487,,,,934,1918,.487,.487,559,734,.762,241,724,965,315,93,160,,298,2427
2,Kareem Abdul-Jabbar*,C,28,LAL,82,,3379,914,1728,.529,,,,914,1728,.529,.529,447,636,.703,272,1111,1383,413,119,338,,292,2275
3,Tiny Archibald*,PG,27,KCK,78,,3184,717,1583,.453,,,,717,1583,.453,.453,501,625,.802,67,146,213,615,126,15,,169,1935
4,Randy Smith,SG,27,BUF,82,,3167,702,1422,.494,,,,702,1422,.494,.494,383,469,.817,104,313,417,484,153,4,,274,1787
5,George McGinnis*,PF,25,PHI,77,,2946,647,1552,.417,,,,647,1552,.417,.417,475,642,.740,260,707,967,359,198,41,,334,1769
6,Fred Brown,SG,27,SEA,76,,2516,742,1522,.488,,,,742,1522,.488,.488,273,314,.869,111,206,317,207,143,18,,186,1757
7,Calvin Murphy*,PG,27,HOU,82,,2995,675,1369,.493,,,,675,1369,.493,.493,372,410,.907,52,157,209,596,151,6,,294,1722
8,Rick Barry*,SF,31,GSW,81,,3122,707,1624,.435,,,,707,1624,.435,.435,287,311,.923,74,422,496,496,202,27,,215,1701
9,Paul Westphal*,PG,25,PHO,82,,2960,657,1329,.494,,,,657,1329,.494,.494,365,440,.830,74,185,259,440,210,38,,218,1679
10,John Drew,SF,21,ATL,77,,2351,586,1168,.502,,,,586,1168,.502,.502,488,656,.744,286,374,660,150,138,30,,261,1660
11,Phil Smith,SG,23,GSW,82,,2793,659,1383,.477,,,,659,1383,.477,.477,323,410,.788,133,243,376,362,108,18,,223,1641
12,Pete Maravich*,SG,28,NOJ,62,,2373,604,1316,.459,,,,604,1316,.459,.459,396,488,.811,46,254,300,332,87,23,,197,1604
13,Doug Collins,SG,24,PHI,77,,2995,614,1196,.513,,,,614,1196,.513,.513,372,445,.836,126,181,307,191,110,24,,249,1600
14,Phil Chenier,SG,25,WSB,80,,2952,654,1355,.483,,,,654,1355,.483,.483,282,341,.827,84,236,320,255,158,45,,186,1590
15,Elvin Hayes*,PF,30,WSB,80,,2975,649,1381,.470,,,,649,1381,.470,.470,287,457,.628,210,668,878,121,104,202,,293,1585
16,Earl Monroe*,SG,31,NYK,76,,2889,647,1354,.478,,,,647,1354,.478,.478,280,356,.787,48,225,273,304,111,22,,209,1574
17,Bob Dandridge,SF,28,MIL,73,,2735,650,1296,.502,,,,650,1296,.502,.502,271,329,.824,171,369,540,206,111,38,,263,1571
18,Jo Jo White*,PG,29,BOS,82,,3257,670,1492,.449,,,,670,1492,.449,.449,212,253,.838,61,252,313,445,107,20,,183,1552
