Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
35,Bill Calhoun,SF,26,MLH,72,,2370,190,545,.349,,,,190,545,.349,.349,214,292,.733,,,274,189,,,,151,594
36,Zeke Zawoluk,SF,23,PHW,71,,1795,203,540,.376,,,,203,540,.376,.376,186,230,.809,,,330,99,,,,220,592
37,Clyde Lovellette*,C,24,MNL,72,,1255,237,560,.423,,,,237,560,.423,.423,114,164,.695,,,419,51,,,,210,588
38,Lew Hitch,PF,24,MLH,72,,2452,221,603,.367,,,,221,603,.367,.367,133,208,.639,,,691,141,,,,176,575
39,George Ratkovicz,PF,31,MLH,69,,2170,197,501,.393,,,,197,501,.393,.393,176,273,.645,,,523,154,,,,255,570
40,Al Roges,SF,23,BLB,67,,1937,220,614,.358,,,,220,614,.358,.358,130,179,.726,,,213,160,,,,177,570
41,Chuck Share,C,26,TOT,68,,1576,188,493,.381,,,,188,493,.381,.381,188,275,.684,,,555,80,,,,210,564
42,George Yardley*,SF,25,FTW,63,,1489,209,492,.425,,,,209,492,.425,.425,146,205,.712,,,407,99,,,,166,564
43,Odie Spears,SF,29,ROC,72,,1633,184,505,.364,,,,184,505,.364,.364,183,238,.769,,,310,109,,,,211,551
44,Bill Gabor,SG,31,SYR,61,,1211,204,551,.370,,,,204,551,.370,.370,139,194,.716,,,96,162,,,,183,547
45,Irv Bemoras,SF,23,MLH,69,,1496,185,505,.366,,,,185,505,.366,.366,139,208,.668,,,214,79,,,,152,509
46,Whitey Skoog,SG,27,MNL,71,,1877,212,530,.400,,,,212,530,.400,.400,72,97,.742,,,224,179,,,,234,496
47,Bill Tosheff,PG,27,MLH,71,,1825,168,578,.291,,,,168,578,.291,.291,156,210,.743,,,163,196,,,,207,492
48,Rollen Hans,SG,22,BLB,67,,1556,191,515,.371,,,,191,515,.371,.371,101,180,.561,,,160,181,,,,172,483
49,Fred Schaus,SF,28,TOT,67,,1515,161,415,.388,,,,161,415,.388,.388,153,195,.785,,,267,109,,,,176,475
50,Jim Baechtold,SF,26,NYK,70,,1627,170,465,.366,,,,170,465,.366,.366,134,177,.757,,,183,117,,,,195,474
51,Danny Finn,PG,25,PHW,68,,1562,170,495,.343,,,,170,495,.343,.343,126,196,.643,,,216,265,,,,215,466
52,Fred Scolari,PG,31,FTW,64,,1589,159,491,.324,,,,159,491,.324,.324,144,180,.800,,,139,131,,,,155,462
53,Don Barksdale*,PF,30,BOS,63,,1358,156,415,.376,,,,156,415,.376,.376,149,225,.662,,,345,117,,,,213,461
54,Leo Barnhorst,SF,29,TOT,72,,2064,199,588,.338,,,,199,588,.338,.338,63,88,.716,,,297,226,,,,203,461
55,Alex Hannum*,PF,30,ROC,72,,1707,175,503,.348,,,,175,503,.348,.348,102,164,.622,,,350,105,,,,279,452
56,Pep Saul,SG,29,MNL,71,,1805,162,467,.347,,,,162,467,.347,.347,128,170,.753,,,159,139,,,,149,452
57,Jack Nichols,PF,27,TOT,75,,1607,163,528,.309,,,,163,528,.309,.309,113,152,.743,,,363,104,,,,187,439
58,Billy Kenville,PG,23,SYR,72,,1405,149,388,.384,,,,149,388,.384,.384,136,182,.747,,,247,122,,,,138,434
59,Paul Walther,SG,26,PHW,64,,2067,138,392,.352,,,,138,392,.352,.352,145,206,.704,,,257,220,,,,199,421
60,Vince Boryla,SF,26,NYK,52,,1522,175,525,.333,,,,175,525,.333,.333,70,81,.864,,,130,77,,,,128,420
61,Bob Harris,SF,26,BOS,71,,1898,156,409,.381,,,,156,409,.381,.381,108,172,.628,,,517,94,,,,224,420
62,Cal Christensen,SF,26,ROC,70,,1654,137,395,.347,,,,137,395,.347,.347,138,261,.529,,,395,107,,,,196,412
63,Bob Brannum,PF,27,BOS,71,,1729,140,453,.309,,,,140,453,.309,.309,129,206,.626,,,509,144,,,,280,409
64,Monk Meineke,PF,23,FTW,71,,1466,135,393,.344,,,,135,393,.344,.344,136,169,.805,,,372,81,,,,214,406
65,Frankie Brian,SG,30,FTW,64,,973,132,352,.375,,,,132,352,.375,.375,137,182,.753,,,79,92,,,,100,401
66,Bob Donham,SG,27,BOS,68,,1451,141,315,.448,,,,141,315,.448,.448,118,213,.554,,,267,186,,,,235,400
67,Walt Davis,PF,23,PHW,68,,1568,167,455,.367,,,,167,455,.367,.367,65,101,.644,,,435,58,,,,207,399
68,Bob Harrison,SG,26,TOT,64,,1443,144,449,.321,,,,144,449,.321,.321,94,158,.595,,,130,139,,,,218,382
69,Jack Molinas,SF,22,FTW,32,,958,114,292,.390,,,,114,292,.390,.390,142,187,.759,,,228,51,,,,83,370
70,Bob Lavoy,PF,27,TOT,68,,1277,135,356,.379,,,,135,356,.379,.379,94,129,.729,,,317,78,,,,215,364
71,Dick Schnittker,SF,25,MNL,71,,1040,122,307,.397,,,,122,307,.397,.397,86,132,.652,,,178,59,,,,178,330
72,Jim Neal,C,23,SYR,67,,899,117,369,.317,,,,117,369,.317,.317,78,132,.591,,,257,24,,,,139,312
73,Jim Fritsche,PF,22,TOT,68,,1221,116,379,.306,,,,116,379,.306,.306,49,68,.721,,,217,73,,,,103,281
74,Jim Holstein,SF,23,MNL,70,,1155,88,288,.306,,,,88,288,.306,.306,64,112,.571,,,204,79,,,,140,240
75,Chuck Cooper*,SF,27,BOS,70,,1101,78,261,.299,,,,78,261,.299,.299,78,116,.672,,,304,74,,,,150,234
76,Red Holzman*,PG,33,MLH,51,,649,74,224,.330,,,,74,224,.330,.330,48,73,.658,,,46,75,,,,73,196
77,Alfred McGuire*,PG,25,NYK,64,,849,58,177,.328,,,,58,177,.328,.328,58,133,.436,,,121,103,,,,144,174
78,Joe Fulks*,PF,32,PHW,61,,501,61,229,.266,,,,61,229,.266,.266,28,49,.571,,,101,28,,,,90,150
79,Ken Murray,SG,25,FTW,49,,528,53,195,.272,,,,53,195,.272,.272,43,60,.717,,,65,56,,,,60,149
80,Ernie Barrett,SG,24,BOS,59,,641,60,191,.314,,,,60,191,.314,.314,14,25,.560,,,100,55,,,,116,134
81,Dick Surhoff,PF,24,MLH,32,,358,43,129,.333,,,,43,129,.333,.333,47,62,.758,,,69,23,,,,53,133
82,Joe Smyth,SF,24,TOT,40,,495,48,138,.348,,,,48,138,.348,.348,35,65,.538,,,98,49,,,,53,131
83,Ernie Beck,SG,22,PHW,15,,422,39,142,.275,,,,39,142,.275,.275,34,43,.791,,,50,34,,,,29,112
84,George Senesky,PG,31,PHW,58,,771,41,119,.345,,,,41,119,.345,.345,29,53,.547,,,66,84,,,,79,111
85,Don Lofgran,SF,24,MLH,21,,380,35,112,.313,,,,35,112,.313,.313,32,49,.653,,,64,26,,,,34,102
86,Norm Swanson,SF,23,ROC,63,,611,31,137,.226,,,,31,137,.226,.226,38,64,.594,,,110,33,,,,91,100
87,Ernie Vandeweghe,SG,25,NYK,15,,271,37,103,.359,,,,37,103,.359,.359,25,31,.806,,,20,29,,,,38,99
88,Jim Luisi,PG,25,BLB,31,,367,31,95,.326,,,,31,95,.326,.326,27,41,.659,,,25,35,,,,45,89
89,Hal Uplinger,SG,24,BLB,23,,268,33,94,.351,,,,33,94,.351,.351,20,22,.909,,,31,26,,,,42,86
90,Al Masino,PG,25,TOT,27,,181,26,62,.419,,,,26,62,.419,.419,30,49,.612,,,28,22,,,,44,82
91,Bato Govedarica,PG,25,SYR,23,,258,25,79,.316,,,,25,79,.316,.316,25,37,.676,,,18,24,,,,44,75
92,Bill Bolger,SF,22,BLB,20,,202,24,59,.407,,,,24,59,.407,.407,8,13,.615,,,36,11,,,,27,56
93,Mark Workman,F-C,23,BLB,14,,151,25,60,.417,,,,25,60,.417,.417,6,10,.600,,,37,7,,,,31,56
94,Don Ackerman,PG,23,NYK,28,,220,14,63,.222,,,,14,63,.222,.222,15,28,.536,,,15,23,,,,43,43
95,Ed Smith,SF,24,NYK,12,,127,14,49,.286,,,,14,49,.286,.286,7,13,.538,,,32,10,,,,17,35
96,Connie Rea,G-F,23,BLB,20,,154,9,43,.209,,,,9,43,.209,.209,5,16,.313,,,31,16,,,,13,23
97,Ed Mikan,C,28,BOS,9,,71,8,24,.333,,,,8,24,.333,.333,5,9,.556,,,20,3,,,,15,21
98,Gene Dyker,F,23,MLH,11,,91,6,26,.231,,,,6,26,.231,.231,4,8,.500,,,16,5,,,,21,16
99,Bob Peterson,F,22,TOT,8,,60,3,10,.300,,,,3,10,.300,.300,9,11,.818,,,12,3,,,,15,15
100,Dick Knostman,C,22,SYR,5,,47,3,10,.300,,,,3,10,.300,.300,7,11,.636,,,17,6,,,,9,13
101,Frank Reddout,F,22,ROC,7,,18,5,6,.833,,,,5,6,.833,.833,3,4,.750,,,9,0,,,,6,13
102,Zeke Sinicola,G,25,FTW,9,,33,4,16,.250,,,,4,16,.250,.250,3,6,.500,,,1,3,,,,8,11
103,Don Asmonga,G,25,BLB,7,,46,2,15,.133,,,,2,15,.133,.133,1,1,1.000,,,1,5,,,,12,5
104,Ed Earle,PF,26,SYR,2,,12,1,2,.500,,,,1,2,.500,.500,2,4,.500,,,2,0,,,,0,4
105,James Phelan,G,24,PHW,4,,33,0,6,.000,,,,0,6,.000,.000,3,6,.500,,,5,2,,,,9,3
106,Isaac Walthour,G,23,MLH,4,,30,1,6,.167,,,,1,6,.167,.167,0,0,,,,1,2,,,,6,2
107,Mike Novak,PF,38,SYR,5,,24,0,7,.000,,,,0,7,.000,.000,1,2,.500,,,2,2,,,,9,1
108,Norm Grekin,F,23,PHW,1,,1,0,0,,,,,0,0,,,0,0,,,,0,0,,,,1,0
109,Mo Mahoney,F,26,BLB,2,,11,0,2,.000,,,,0,2,.000,.000,0,0,,,,2,1,,,,0,0
110,Paul Nolen,C,24,BLB,1,,2,0,1,.000,,,,0,1,.000,.000,0,0,,,,1,0,,,,1,0
