Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Neil Johnston*,C,24,PHW,72,,3296,591,1317,.449,,,,591,1317,.449,.449,577,772,.747,,,797,203,,,,259,1759
2,Bob Cousy*,PG,25,BOS,72,,2857,486,1262,.385,,,,486,1262,.385,.385,411,522,.787,,,394,518,,,,201,1383
3,Ed Macauley*,C,25,BOS,71,,2792,462,950,.486,,,,462,950,.486,.486,420,554,.758,,,571,271,,,,168,1344
4,George Mikan*,C,29,MNL,72,,2362,441,1160,.380,,,,441,1160,.380,.380,424,546,.777,,,1028,174,,,,268,1306
5,Ray Felix,C,23,BLB,72,,2672,410,983,.417,,,,410,983,.417,.417,449,704,.638,,,958,82,,,,253,1269
6,Dolph Schayes*,C,25,SYR,72,,2655,370,973,.380,,,,370,973,.380,.380,488,590,.827,,,870,214,,,,232,1228
7,Bill Sharman*,SG,27,BOS,72,,2467,412,915,.450,,,,412,915,.450,.450,331,392,.844,,,255,229,,,,211,1155
8,Larry Foust,C,25,FTW,72,,2693,376,919,.409,,,,376,919,.409,.409,338,475,.712,,,967,161,,,,258,1090
9,Carl Braun*,SG,26,NYK,72,,2373,354,884,.400,,,,354,884,.400,.400,354,429,.825,,,246,209,,,,259,1062
10,Bobby Wanzer*,SG,32,ROC,72,,2538,322,835,.386,,,,322,835,.386,.386,314,428,.734,,,392,254,,,,171,958
11,Harry Gallatin*,PF,26,NYK,72,,2690,258,639,.404,,,,258,639,.404,.404,433,552,.784,,,1098,153,,,,208,949
12,Arnie Risen*,C,29,ROC,72,,2385,321,872,.368,,,,321,872,.368,.368,307,430,.714,,,728,120,,,,284,949
13,Joe Graboski,PF,24,PHW,71,,2759,354,1000,.354,,,,354,1000,.354,.354,236,350,.674,,,670,163,,,,223,944
14,Paul Seymour,SG,26,SYR,71,,2727,316,838,.377,,,,316,838,.377,.377,299,368,.813,,,291,364,,,,187,931
15,Bob Davies*,PG,34,ROC,72,,2137,288,777,.371,,,,288,777,.371,.371,311,433,.718,,,194,323,,,,224,887
16,Jim Pollard*,SF,31,MNL,71,,2483,326,882,.370,,,,326,882,.370,.370,179,230,.778,,,500,214,,,,161,831
17,George King,PG,25,SYR,72,,2370,280,744,.376,,,,280,744,.376,.376,257,410,.627,,,268,272,,,,179,817
18,Max Zaslofsky,SG,28,TOT,65,,1881,278,756,.368,,,,278,756,.368,.368,255,357,.714,,,160,154,,,,142,811
19,Vern Mikkelsen*,PF,25,MNL,72,,2247,288,771,.374,,,,288,771,.374,.374,221,298,.742,,,615,119,,,,264,797
20,Don Sunderlage,SG,24,MLH,68,,2232,254,748,.340,,,,254,748,.340,.340,252,337,.748,,,225,187,,,,263,760
21,Andy Phillip*,PG,31,FTW,71,,2705,255,680,.375,,,,255,680,.375,.375,241,330,.730,,,265,449,,,,204,751
22,Mel Hutchins,PF,25,FTW,72,,2934,295,736,.401,,,,295,736,.401,.401,151,223,.677,,,695,210,,,,229,741
23,Paul Hoffman,PG,28,BLB,72,,2505,253,761,.332,,,,253,761,.332,.332,217,303,.716,,,486,285,,,,271,723
24,Connie Simmons,C,28,NYK,72,,2006,255,713,.358,,,,255,713,.358,.358,210,305,.689,,,484,128,,,,234,720
25,Eddie Miller,C,22,BLB,72,,1657,244,600,.407,,,,244,600,.407,.407,231,317,.729,,,537,95,,,,194,719
26,Jack McMahon,PG,25,ROC,71,,1891,250,691,.362,,,,250,691,.362,.362,211,303,.696,,,211,238,,,,221,711
27,Nat Clifton*,PF,31,NYK,72,,2179,257,699,.368,,,,257,699,.368,.368,174,277,.628,,,528,176,,,,215,688
28,Jack Coleman,PF,29,ROC,71,,2377,289,714,.405,,,,289,714,.405,.405,108,181,.597,,,589,158,,,,201,686
29,Slater Martin*,PG,28,MNL,69,,2472,254,654,.388,,,,254,654,.388,.388,176,243,.724,,,166,253,,,,198,684
30,Jack George,PG,25,PHW,71,,2648,259,736,.352,,,,259,736,.352,.352,157,266,.590,,,386,312,,,,210,675
31,Earl Lloyd*,SF,25,SYR,72,,2206,249,666,.374,,,,249,666,.374,.374,156,209,.746,,,529,115,,,,303,654
32,Dick McGuire*,PG,28,NYK,68,,2343,201,493,.408,,,,201,493,.408,.408,220,345,.638,,,310,354,,,,199,622
33,Wally Osterkorn,PF,25,SYR,70,,2164,203,586,.346,,,,203,586,.346,.346,209,361,.579,,,487,151,,,,209,615
34,Bob Houbregs*,PF,21,TOT,70,,1970,209,562,.372,,,,209,562,.372,.372,190,266,.714,,,375,123,,,,209,608
