Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Henry Akin,PF,22,NYK,50,,453,83,230,.361,,,,83,230,.361,.361,26,37,.703,,,120,25,,,,82,192
2,Al Attles*,PG,30,SFW,69,,1764,212,467,.454,,,,212,467,.454,.454,88,151,.583,,,321,269,,,,265,512
3,Johnny Austin,SG,22,BAL,4,,61,5,22,.227,,,,5,22,.227,.227,13,16,.813,,,7,4,,,,12,23
4,Jim Barnes,PF,25,LAL,80,,1398,217,497,.437,,,,217,497,.437,.437,128,187,.684,,,450,47,,,,266,562
5,Dick Barnett,SG,30,NYK,67,,1969,454,949,.478,,,,454,949,.478,.478,231,295,.783,,,226,161,,,,185,1139
6,Jim Barnett,SG,22,BOS,48,,383,78,211,.370,,,,78,211,.370,.370,42,62,.677,,,53,41,,,,61,198
7,John Barnhill,PG,28,BAL,53,,1214,187,447,.418,,,,187,447,.418,.418,66,103,.641,,,157,136,,,,80,440
8,Rick Barry*,SF,22,SFW,78,,3175,1011,2240,.451,,,,1011,2240,.451,.451,753,852,.884,,,714,282,,,,258,2775
9,Elgin Baylor*,SF,32,LAL,70,,2706,711,1658,.429,,,,711,1658,.429,.429,440,541,.813,,,898,215,,,,211,1862
10,Zelmo Beaty*,C,27,STL,48,,1661,328,694,.473,,,,328,694,.473,.473,197,260,.758,,,515,60,,,,189,853
11,Walt Bellamy*,C,27,NYK,79,,3010,565,1084,.521,,,,565,1084,.521,.521,369,580,.636,,,1064,206,,,,275,1499
12,Dave Bing*,PG,23,DET,80,,2762,664,1522,.436,,,,664,1522,.436,.436,273,370,.738,,,359,330,,,,217,1601
13,John Block,PF,22,LAL,22,,118,20,52,.385,,,,20,52,.385,.385,24,34,.706,,,45,5,,,,20,64
14,Bob Boozer,PF,29,CHI,80,,2451,538,1104,.487,,,,538,1104,.487,.487,360,461,.781,,,679,90,,,,212,1436
15,Nate Bowman,C,23,CHI,9,,65,8,21,.381,,,,8,21,.381,.381,6,8,.750,,,28,2,,,,18,22
16,Bill Bridges,PF,27,STL,79,,3130,503,1106,.455,,,,503,1106,.455,.455,367,523,.702,,,1190,222,,,,325,1373
17,Em Bryant,PG,28,NYK,63,,1593,236,577,.409,,,,236,577,.409,.409,74,114,.649,,,273,218,,,,231,546
18,Joe Caldwell,SF,25,STL,81,,2256,458,1076,.426,,,,458,1076,.426,.426,200,308,.649,,,442,166,,,,230,1116
19,Wilt Chamberlain*,C,30,PHI,81,,3682,785,1150,.683,,,,785,1150,.683,.683,386,875,.441,,,1957,630,,,,143,1956
20,Jerry Chambers,SF,23,LAL,69,,1015,224,496,.452,,,,224,496,.452,.452,68,93,.731,,,208,44,,,,143,516
21,Len Chappell,C-PF,26,TOT,73,,708,132,313,.422,,,,132,313,.422,.422,53,81,.654,,,189,33,,,,104,317
21,Len Chappell,PF,26,CHI,19,,179,40,89,.449,,,,40,89,.449,.449,14,21,.667,,,38,12,,,,31,94
21,Len Chappell,C,26,CIN,54,,529,92,224,.411,,,,92,224,.411,.411,39,60,.650,,,151,21,,,,73,223
