Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Archie Clark,SG,25,LAL,76,,1763,331,732,.452,,,,331,732,.452,.452,136,192,.708,,,218,205,,,,193,798
23,Barry Clemens,SF,23,CHI,60,,986,186,444,.419,,,,186,444,.419,.419,68,90,.756,,,201,39,,,,143,440
24,Larry Costello,PG,35,PHI,49,,976,130,293,.444,,,,130,293,.444,.444,120,133,.902,,,103,140,,,,141,380
25,Mel Counts,C,25,TOT,56,,860,177,419,.422,,,,177,419,.422,.422,69,94,.734,,,344,52,,,,183,423
25,Mel Counts,C,25,BAL,25,,343,65,167,.389,,,,65,167,.389,.389,29,40,.725,,,155,30,,,,81,159
25,Mel Counts,C,25,LAL,31,,517,112,252,.444,,,,112,252,.444,.444,40,54,.741,,,189,22,,,,102,264
26,Freddie Crawford,SG,25,NYK,19,,192,44,116,.379,,,,44,116,.379,.379,24,38,.632,,,48,12,,,,39,112
27,Billy Cunningham*,SF,23,PHI,81,,2168,556,1211,.459,,,,556,1211,.459,.459,383,558,.686,,,589,205,,,,260,1495
28,Dave DeBusschere*,SF,26,DET,78,,2897,531,1278,.415,,,,531,1278,.415,.415,361,512,.705,,,924,216,,,,297,1423
29,Dave Deutsch,G,21,NYK,19,,93,6,36,.167,,,,6,36,.167,.167,9,20,.450,,,21,15,,,,17,21
30,Connie Dierking,C,30,CIN,77,,1905,291,729,.399,,,,291,729,.399,.399,134,180,.744,,,603,158,,,,251,716
31,Johnny Egan,PG,28,BAL,71,,1743,267,624,.428,,,,267,624,.428,.428,185,219,.845,,,180,275,,,,190,719
32,Joe Ellis,SF,22,SFW,41,,333,67,164,.409,,,,67,164,.409,.409,19,25,.760,,,112,27,,,,45,153
33,Leroy Ellis,C,26,BAL,81,,2938,496,1166,.425,,,,496,1166,.425,.425,211,286,.738,,,970,170,,,,258,1203
34,Wayne Embry*,C,29,BOS,72,,729,147,359,.409,,,,147,359,.409,.409,82,144,.569,,,294,42,,,,137,376
35,Keith Erickson,SF,22,CHI,76,,1454,235,641,.367,,,,235,641,.367,.367,117,159,.736,,,339,119,,,,199,587
36,Bob Ferry,C,29,BAL,51,,991,132,315,.419,,,,132,315,.419,.419,70,110,.636,,,258,92,,,,97,334
37,Hank Finkel,C,24,LAL,27,,141,17,47,.362,,,,17,47,.362,.362,7,12,.583,,,64,5,,,,39,41
38,Dave Gambee,SF,29,PHI,63,,757,150,345,.435,,,,150,345,.435,.435,107,125,.856,,,197,42,,,,143,407
39,Gail Goodrich*,SG,23,LAL,77,,1780,352,776,.454,,,,352,776,.454,.454,253,337,.751,,,251,210,,,,194,957
40,Johnny Green,PF,33,BAL,61,,948,203,437,.465,,,,203,437,.465,.465,96,207,.464,,,394,57,,,,139,502
41,Hal Greer*,SG,30,PHI,80,,3086,699,1524,.459,,,,699,1524,.459,.459,367,466,.788,,,422,303,,,,302,1765
42,Richie Guerin*,SG,34,STL,80,,2275,394,904,.436,,,,394,904,.436,.436,304,416,.731,,,192,345,,,,247,1092
43,Matt Guokas,SG,22,PHI,69,,808,79,203,.389,,,,79,203,.389,.389,49,81,.605,,,83,105,,,,82,207
44,Happy Hairston,SF,24,CIN,79,,2442,461,962,.479,,,,461,962,.479,.479,252,382,.660,,,631,62,,,,273,1174
45,Reggie Harding,C,24,DET,74,,1367,172,383,.449,,,,172,383,.449,.449,63,103,.612,,,455,94,,,,164,407
46,John Havlicek*,SF,26,BOS,81,,2602,684,1540,.444,,,,684,1540,.444,.444,365,441,.828,,,532,278,,,,210,1733
47,Tom Hawkins,SF,30,LAL,76,,1798,275,572,.481,,,,275,572,.481,.481,82,173,.474,,,434,83,,,,207,632
48,Walt Hazzard,PG,24,LAL,79,,1642,301,706,.426,,,,301,706,.426,.426,129,177,.729,,,231,323,,,,203,731
49,Fred Hetzel,PF,24,SFW,77,,2123,373,932,.400,,,,373,932,.400,.400,192,237,.810,,,639,111,,,,228,938
50,Wayne Hightower,PF,27,TOT,72,,1310,195,567,.344,,,,195,567,.344,.344,153,210,.729,,,405,64,,,,190,543
50,Wayne Hightower,PF,27,BAL,43,,746,103,308,.334,,,,103,308,.334,.334,89,124,.718,,,241,36,,,,110,295
50,Wayne Hightower,PF,27,DET,29,,564,92,259,.355,,,,92,259,.355,.355,64,86,.744,,,164,28,,,,80,248
51,Bob Hogsett,PF,26,DET,7,,22,5,16,.313,,,,5,16,.313,.313,6,6,1.000,,,3,1,,,,5,16
52,Tom Hoover,C,26,STL,17,,129,13,31,.419,,,,13,31,.419,.419,5,13,.385,,,36,8,,,,35,31
53,Bailey Howell*,PF,30,BOS,81,,2503,636,1242,.512,,,,636,1242,.512,.512,349,471,.741,,,677,103,,,,296,1621
54,Lou Hudson,SF,22,STL,80,,2446,620,1328,.467,,,,620,1328,.467,.467,231,327,.706,,,435,95,,,,277,1471
55,Darrall Imhoff,C,28,LAL,81,,2725,370,780,.474,,,,370,780,.474,.474,127,207,.614,,,1080,222,,,,281,867
56,Luke Jackson,PF,25,PHI,81,,2377,386,882,.438,,,,386,882,.438,.438,198,261,.759,,,724,114,,,,276,970
57,Gus Johnson*,SF,28,BAL,73,,2626,620,1377,.450,,,,620,1377,.450,.450,271,383,.708,,,855,194,,,,281,1511
58,Neil Johnson,PF,23,NYK,51,,522,59,171,.345,,,,59,171,.345,.345,57,86,.663,,,167,38,,,,102,175
59,K.C. Jones*,PG,34,BOS,78,,2446,182,459,.397,,,,182,459,.397,.397,119,189,.630,,,239,389,,,,273,483
60,Sam Jones*,SG,33,BOS,72,,2325,638,1406,.454,,,,638,1406,.454,.454,318,371,.857,,,338,217,,,,191,1594
61,Wali Jones,PG,24,PHI,81,,2249,423,982,.431,,,,423,982,.431,.431,223,266,.838,,,265,303,,,,246,1069
62,Toby Kimball,PF,24,BOS,38,,222,35,97,.361,,,,35,97,.361,.361,27,40,.675,,,146,13,,,,42,97
63,Jim King,SG,25,SFW,67,,1667,286,685,.418,,,,286,685,.418,.418,174,221,.787,,,319,240,,,,193,746
64,Don Kojis,SF,28,CHI,78,,1655,329,773,.426,,,,329,773,.426,.426,134,222,.604,,,479,70,,,,204,792
65,Howard Komives,PG,25,NYK,65,,2282,402,995,.404,,,,402,995,.404,.404,217,253,.858,,,183,401,,,,213,1021
66,Tommy Kron,SG,23,STL,32,,221,27,87,.310,,,,27,87,.310,.310,13,19,.684,,,36,46,,,,35,67
67,Rudy LaRusso,PF,29,LAL,45,,1292,211,509,.415,,,,211,509,.415,.415,156,224,.696,,,351,78,,,,149,578
68,Clyde Lee,C,22,SFW,74,,1247,205,503,.408,,,,205,503,.408,.408,105,166,.633,,,551,77,,,,168,515
69,George Lee,F-G,30,SFW,1,,5,3,4,.750,,,,3,4,.750,.750,6,7,.857,,,0,0,,,,0,12
70,Freddie Lewis,PG,23,CIN,32,,334,60,153,.392,,,,60,153,.392,.392,29,41,.707,,,44,40,,,,49,149
71,Kevin Loughery,SG,26,BAL,76,,2577,520,1306,.398,,,,520,1306,.398,.398,340,412,.825,,,349,288,,,,294,1380
72,Bob Love,PF,24,CIN,66,,1074,173,403,.429,,,,173,403,.429,.429,93,147,.633,,,257,49,,,,153,439
73,Jerry Lucas*,PF,26,CIN,81,,3558,577,1257,.459,,,,577,1257,.459,.459,284,359,.791,,,1547,268,,,,280,1438
74,Jack Marin,SF,22,BAL,74,,1323,283,632,.448,,,,283,632,.448,.448,145,187,.775,,,313,75,,,,199,711
75,Jon McGlocklin,SF,23,CIN,60,,1194,217,493,.440,,,,217,493,.440,.440,74,104,.712,,,164,93,,,,84,508
76,McCoy McLemore,SF,24,CHI,79,,1382,258,670,.385,,,,258,670,.385,.385,210,272,.772,,,374,62,,,,189,726
77,Bill Melchionni,PG,22,PHI,73,,692,138,353,.391,,,,138,353,.391,.391,39,60,.650,,,98,98,,,,73,315
78,Tom Meschery,PF,28,SFW,72,,1846,293,706,.415,,,,293,706,.415,.415,175,244,.717,,,549,94,,,,264,761
79,Eddie Miles,SG,26,DET,81,,2419,582,1363,.427,,,,582,1363,.427,.427,261,338,.772,,,298,181,,,,216,1425
80,Wayne Molis,C,23,NYK,13,,75,19,51,.373,,,,19,51,.373,.373,7,13,.538,,,22,2,,,,9,45
81,Erwin Mueller,C,22,CHI,80,,2136,422,957,.441,,,,422,957,.441,.441,171,260,.658,,,497,131,,,,223,1015
82,Jeff Mullins,SG,24,SFW,77,,1835,421,919,.458,,,,421,919,.458,.458,150,214,.701,,,388,226,,,,195,992
83,Dorie Murrey,PF,23,DET,35,,311,33,82,.402,,,,33,82,.402,.402,32,54,.593,,,102,12,,,,57,98
84,Don Nelson*,SF,26,BOS,79,,1202,227,509,.446,,,,227,509,.446,.446,141,190,.742,,,295,65,,,,143,595
85,Paul Neumann,PG,29,SFW,78,,2421,386,911,.424,,,,386,911,.424,.424,312,390,.800,,,272,342,,,,266,1084
86,Don Ohl,SG,30,BAL,58,,2024,452,1002,.451,,,,452,1002,.451,.451,276,354,.780,,,189,168,,,,153,1180
87,Bud Olsen,PF,26,SFW,40,,348,75,167,.449,,,,75,167,.449,.449,23,58,.397,,,103,32,,,,51,173
88,Ron Reed,PF,24,DET,62,,1248,223,600,.372,,,,223,600,.372,.372,79,133,.594,,,423,81,,,,145,525
89,Willis Reed*,PF,24,NYK,78,,2824,635,1298,.489,,,,635,1298,.489,.489,358,487,.735,,,1136,126,,,,293,1628
90,Oscar Robertson*,PG,28,CIN,79,,3468,838,1699,.493,,,,838,1699,.493,.493,736,843,.873,,,486,845,,,,226,2412
91,Flynn Robinson,PG,25,CIN,76,,1140,274,599,.457,,,,274,599,.457,.457,120,154,.779,,,133,110,,,,197,668
92,Guy Rodgers*,PG,31,CHI,81,,3063,538,1377,.391,,,,538,1377,.391,.391,383,475,.806,,,346,908,,,,243,1459
93,Bill Russell*,C,32,BOS,81,,3297,395,870,.454,,,,395,870,.454,.454,285,467,.610,,,1700,472,,,,258,1075
94,Cazzie Russell,SF,22,NYK,77,,1696,344,789,.436,,,,344,789,.436,.436,179,228,.785,,,251,187,,,,174,867
95,Tom Sanders*,SF,28,BOS,81,,1926,323,755,.428,,,,323,755,.428,.428,178,218,.817,,,439,91,,,,304,824
96,Dave Schellhase,PG,22,CHI,31,,212,40,111,.360,,,,40,111,.360,.360,14,22,.636,,,29,23,,,,27,94
97,Ray Scott,C-PF,28,TOT,72,,2446,458,1144,.400,,,,458,1144,.400,.400,256,366,.699,,,760,160,,,,215,1172
97,Ray Scott,C,28,DET,45,,1477,252,681,.370,,,,252,681,.370,.370,156,206,.757,,,404,84,,,,132,660
97,Ray Scott,PF,28,BAL,27,,969,206,463,.445,,,,206,463,.445,.445,100,160,.625,,,356,76,,,,83,512
98,Larry Siegfried,PG,27,BOS,73,,1891,368,833,.442,,,,368,833,.442,.442,294,347,.847,,,228,250,,,,207,1030
99,Paul Silas,PF,23,STL,77,,1570,207,482,.429,,,,207,482,.429,.429,113,213,.531,,,669,74,,,,208,527
100,Jerry Sloan*,SG,24,CHI,80,,2942,525,1214,.432,,,,525,1214,.432,.432,340,427,.796,,,726,170,,,,293,1390
101,Adrian Smith,SG,30,CIN,81,,2636,502,1147,.438,,,,502,1147,.438,.438,343,380,.903,,,205,187,,,,272,1347
102,Dick Snyder,SG,22,STL,55,,676,144,333,.432,,,,144,333,.432,.432,46,61,.754,,,91,59,,,,82,334
103,Dave Stallworth,SF,25,NYK,76,,1889,380,816,.466,,,,380,816,.466,.466,229,320,.716,,,472,144,,,,226,989
104,Joe Strawder,C,26,DET,79,,2156,281,660,.426,,,,281,660,.426,.426,188,262,.718,,,791,82,,,,344,750
105,Rod Thorn*,PG,25,STL,67,,1166,233,524,.445,,,,233,524,.445,.445,125,172,.727,,,160,118,,,,88,591
106,Nate Thurmond*,C,25,SFW,65,,2761,467,1068,.437,,,,467,1068,.437,.437,280,445,.629,,,1382,166,,,,183,1214
107,Gene Tormohlen,C,29,STL,63,,1036,172,403,.427,,,,172,403,.427,.427,50,84,.595,,,347,73,,,,177,394
108,John Tresvant,PF,27,DET,68,,1553,256,585,.438,,,,256,585,.438,.438,164,234,.701,,,483,88,,,,246,676
109,Dick Van Arsdale,SG,23,NYK,79,,2892,410,913,.449,,,,410,913,.449,.449,371,509,.729,,,555,247,,,,264,1191
110,Tom Van Arsdale,SG,23,DET,79,,2134,347,887,.391,,,,347,887,.391,.391,272,347,.784,,,341,193,,,,241,966
111,Chico Vaughn,SG,26,DET,51,,680,85,226,.376,,,,85,226,.376,.376,50,74,.676,,,67,75,,,,54,220
112,Chet Walker*,SF,26,PHI,81,,2691,561,1150,.488,,,,561,1150,.488,.488,445,581,.766,,,660,188,,,,232,1567
113,Gerry Ward,SG,25,CHI,76,,1042,117,307,.381,,,,117,307,.381,.381,87,138,.630,,,179,130,,,,169,321
114,Jim Ware,PF,22,CIN,33,,201,30,97,.309,,,,30,97,.309,.309,10,17,.588,,,69,6,,,,35,70
115,Ben Warley,SF,30,BAL,62,,1037,125,312,.401,,,,125,312,.401,.401,134,170,.788,,,325,51,,,,176,384
116,Bob Warlick,SG,25,SFW,12,,65,15,52,.288,,,,15,52,.288,.288,6,11,.545,,,20,10,,,,4,36
117,Jim Washington,PF,23,CHI,77,,1475,252,604,.417,,,,252,604,.417,.417,88,159,.553,,,468,56,,,,181,592
118,Ron Watts,F,23,BOS,27,,89,11,44,.250,,,,11,44,.250,.250,16,23,.696,,,38,1,,,,16,38
119,Bob Weiss,PG,24,PHI,6,,29,5,10,.500,,,,5,10,.500,.500,2,5,.400,,,3,10,,,,8,12
120,Walt Wesley,C,22,CIN,64,,909,131,333,.393,,,,131,333,.393,.393,52,123,.423,,,329,19,,,,161,314
121,Jerry West*,PG,28,LAL,66,,2670,645,1389,.464,,,,645,1389,.464,.464,602,686,.878,,,392,447,,,,160,1892
122,Lenny Wilkens*,PG,29,STL,78,,2974,448,1036,.432,,,,448,1036,.432,.432,459,583,.787,,,412,442,,,,280,1355
123,George Wilson,C,24,TOT,55,,573,85,234,.363,,,,85,234,.363,.363,58,86,.674,,,206,15,,,,92,228
123,George Wilson,C,24,CIN,12,,125,8,41,.195,,,,8,41,.195,.195,13,16,.813,,,43,0,,,,19,29
123,George Wilson,C,24,CHI,43,,448,77,193,.399,,,,77,193,.399,.399,45,70,.643,,,163,15,,,,73,199
