Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Paul Arizin*,SF,23,PHW,66,,2939,548,1222,.448,,,,548,1222,.448,.448,578,707,.818,,,745,170,,,,250,1674
2,George Mikan*,C,27,MNL,64,,2572,545,1414,.385,,,,545,1414,.385,.385,433,555,.780,,,866,194,,,,286,1523
3,Bob Cousy*,PG,23,BOS,66,,2681,512,1388,.369,,,,512,1388,.369,.369,409,506,.808,,,421,441,,,,190,1433
4,Ed Macauley*,C,23,BOS,66,,2631,384,888,.432,,,,384,888,.432,.432,496,621,.799,,,529,232,,,,174,1264
5,Bob Davies*,PG,32,ROC,65,,2394,379,990,.383,,,,379,990,.383,.383,294,379,.776,,,189,390,,,,269,1052
6,Frankie Brian,SG,28,FTW,66,,2672,342,972,.352,,,,342,972,.352,.352,367,433,.848,,,232,233,,,,220,1051
7,Larry Foust,C,23,FTW,66,,2615,390,989,.394,,,,390,989,.394,.394,267,394,.678,,,880,200,,,,245,1047
8,Bobby Wanzer*,SG,30,ROC,66,,2498,328,772,.425,,,,328,772,.425,.425,377,417,.904,,,333,262,,,,201,1033
9,Arnie Risen*,C,27,ROC,66,,2396,365,926,.394,,,,365,926,.394,.394,302,431,.701,,,841,150,,,,258,1032
10,Vern Mikkelsen*,PF,23,MNL,66,,2345,363,866,.419,,,,363,866,.419,.419,283,372,.761,,,681,180,,,,282,1009
11,Jim Pollard*,SF,29,MNL,65,,2545,411,1155,.356,,,,411,1155,.356,.356,183,260,.704,,,593,234,,,,199,1005
12,Fred Scolari,PG,29,BLB,64,,2242,290,867,.334,,,,290,867,.334,.334,353,423,.835,,,214,303,,,,213,933
13,Max Zaslofsky,SG,26,NYK,66,,2113,322,958,.336,,,,322,958,.336,.336,287,380,.755,,,194,156,,,,183,931
14,Joe Fulks*,PF,30,PHW,61,,1904,336,1078,.312,,,,336,1078,.312,.312,250,303,.825,,,368,123,,,,255,922
15,Joe Graboski,C,22,INO,66,,2439,320,827,.387,,,,320,827,.387,.387,264,396,.667,,,655,130,,,,254,904
16,Fred Schaus,SF,26,FTW,62,,2581,281,778,.361,,,,281,778,.361,.361,310,372,.833,,,434,247,,,,221,872
17,Dolph Schayes*,PF,23,SYR,63,,2004,263,740,.355,,,,263,740,.355,.355,342,424,.807,,,773,182,,,,213,868
18,Red Rocha,C,28,SYR,66,,2543,300,749,.401,,,,300,749,.401,.401,254,330,.770,,,549,128,,,,249,854
19,Leo Barnhorst,SF,27,INO,66,,2344,349,897,.389,,,,349,897,.389,.389,122,187,.652,,,430,255,,,,196,820
20,Andy Phillip*,SG,29,PHW,66,,2933,279,762,.366,,,,279,762,.366,.366,232,308,.753,,,434,539,,,,218,790
21,Don Barksdale*,PF,28,BLB,62,,2014,272,804,.338,,,,272,804,.338,.338,237,343,.691,,,601,137,,,,230,781
22,Stan Miasek,PF,28,BLB,66,,2174,258,707,.365,,,,258,707,.365,.365,263,372,.707,,,639,140,,,,257,779
23,Don Otten,C,30,TOT,64,,1789,222,636,.349,,,,222,636,.349,.349,323,418,.773,,,435,123,,,,218,767
24,Dike Eddleman,SF,29,TOT,66,,1904,270,813,.332,,,,270,813,.332,.332,203,332,.611,,,269,135,,,,252,743
25,Harry Gallatin*,PF,24,NYK,66,,1931,233,527,.442,,,,233,527,.442,.442,275,341,.806,,,661,115,,,,223,741
