Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Kareem Abdul-Jabbar*,C,23,MIL,82,,3288,1063,1843,.577,,,,1063,1843,.577,.577,470,681,.690,,,1311,272,,,,264,2596
2,Elvin Hayes*,C,25,SDR,82,,3633,948,2215,.428,,,,948,2215,.428,.428,454,676,.672,,,1362,186,,,,225,2350
3,John Havlicek*,SF,30,BOS,81,,3678,892,1982,.450,,,,892,1982,.450,.450,554,677,.818,,,730,607,,,,200,2338
4,Dave Bing*,PG,27,DET,82,,3065,799,1710,.467,,,,799,1710,.467,.467,615,772,.797,,,364,408,,,,228,2213
5,Bob Love,PF,28,CHI,81,,3482,765,1710,.447,,,,765,1710,.447,.447,513,619,.829,,,690,185,,,,259,2043
6,Lou Hudson,SF,26,ATL,76,,3113,829,1713,.484,,,,829,1713,.484,.484,381,502,.759,,,386,257,,,,186,2039
7,Geoff Petrie,SG,22,POR,82,,3032,784,1770,.443,,,,784,1770,.443,.443,463,600,.772,,,280,390,,,,196,2031
8,Pete Maravich*,SG,23,ATL,81,,2926,738,1613,.458,,,,738,1613,.458,.458,404,505,.800,,,298,355,,,,238,1880
9,Tom Van Arsdale,SF,27,CIN,82,,3146,749,1642,.456,,,,749,1642,.456,.456,377,523,.721,,,499,181,,,,294,1875
10,Billy Cunningham*,SF,27,PHI,81,,3090,702,1519,.462,,,,702,1519,.462,.462,455,620,.734,,,946,395,,,,328,1859
11,Jerry West*,PG,32,LAL,69,,2845,667,1351,.494,,,,667,1351,.494,.494,525,631,.832,,,320,655,,,,180,1859
12,Chet Walker*,SF,30,CHI,81,,2927,650,1398,.465,,,,650,1398,.465,.465,480,559,.859,,,588,179,,,,187,1780
13,Dick Van Arsdale,SG,27,PHO,81,,3157,609,1346,.452,,,,609,1346,.452,.452,553,682,.811,,,316,329,,,,246,1771
14,Archie Clark,PG,29,PHI,82,,3245,662,1334,.496,,,,662,1334,.496,.496,422,536,.787,,,391,440,,,,217,1746
15,Walt Frazier*,PG,25,NYK,80,,3455,651,1317,.494,,,,651,1317,.494,.494,434,557,.779,,,544,536,,,,240,1736
16,Earl Monroe*,PG,26,BAL,81,,2843,663,1501,.442,,,,663,1501,.442,.442,406,506,.802,,,213,354,,,,220,1732
17,Wilt Chamberlain*,C,34,LAL,82,,3630,668,1226,.545,,,,668,1226,.545,.545,360,669,.538,,,1493,352,,,,174,1696
18,Stu Lantz,SG,24,SDR,82,,3102,585,1305,.448,,,,585,1305,.448,.448,519,644,.806,,,406,344,,,,230,1689
19,Nate Thurmond*,C,29,SFW,82,,3351,623,1401,.445,,,,623,1401,.445,.445,395,541,.730,,,1128,257,,,,192,1641
20,Jo Jo White*,PG,24,BOS,75,,2787,693,1494,.464,,,,693,1494,.464,.464,215,269,.799,,,376,361,,,,255,1601
21,Dick Snyder,SG,26,SEA,82,,2824,645,1215,.531,,,,645,1215,.531,.531,302,361,.837,,,257,352,,,,249,1592
22,Bob Kauffman,PF,24,BUF,78,,2778,616,1309,.471,,,,616,1309,.471,.471,359,485,.740,,,837,354,,,,263,1591
23,Oscar Robertson*,PG,32,MIL,81,,3194,592,1193,.496,,,,592,1193,.496,.496,385,453,.850,,,462,668,,,,203,1569
24,Jeff Mullins,SG,28,SFW,75,,2909,630,1308,.482,,,,630,1308,.482,.482,302,358,.844,,,341,332,,,,246,1562
25,Jack Marin,SF,26,BAL,82,,2920,626,1360,.460,,,,626,1360,.460,.460,290,342,.848,,,513,217,,,,261,1542
26,Jerry Lucas*,PF,30,SFW,80,,3251,623,1250,.498,,,,623,1250,.498,.498,289,367,.787,,,1265,293,,,,197,1535
27,Don May,SF,25,BUF,76,,2666,629,1336,.471,,,,629,1336,.471,.471,277,350,.791,,,567,150,,,,219,1535
28,Willis Reed*,C,28,NYK,73,,2855,614,1330,.462,,,,614,1330,.462,.462,299,381,.785,,,1003,148,,,,228,1527
29,Hal Greer*,SG,34,PHI,81,,3060,591,1371,.431,,,,591,1371,.431,.431,326,405,.805,,,364,369,,,,289,1508
30,Happy Hairston,PF,28,LAL,80,,2921,574,1233,.466,,,,574,1233,.466,.466,337,431,.782,,,797,168,,,,256,1485
31,Connie Hawkins*,SF,28,PHO,71,,2662,512,1181,.434,,,,512,1181,.434,.434,457,560,.816,,,643,322,,,,197,1481
32,Clem Haskins,PG,27,PHO,82,,2764,562,1277,.440,,,,562,1277,.440,.440,338,431,.784,,,324,383,,,,207,1462
33,Jerry Sloan*,SG,28,CHI,80,,3140,592,1342,.441,,,,592,1342,.441,.441,278,389,.715,,,701,281,,,,289,1462
34,Walt Wesley,C,26,CLE,82,,2425,565,1241,.455,,,,565,1241,.455,.455,325,473,.687,,,713,83,,,,295,1455
35,Bob Dandridge,SF,23,MIL,79,,2862,594,1167,.509,,,,594,1167,.509,.509,264,376,.702,,,632,277,,,,287,1452
36,Jim Barnett,SG,26,POR,78,,2371,559,1283,.436,,,,559,1283,.436,.436,326,402,.811,,,376,323,,,,190,1444
37,Lenny Wilkens*,PG,33,SEA,71,,2641,471,1125,.419,,,,471,1125,.419,.419,461,574,.803,,,319,654,,,,201,1403
38,Jimmy Walker,SG,26,DET,79,,2765,524,1201,.436,,,,524,1201,.436,.436,344,414,.831,,,207,268,,,,173,1392
39,Gail Goodrich*,SG,27,LAL,79,,2808,558,1174,.475,,,,558,1174,.475,.475,264,343,.770,,,260,380,,,,258,1380
40,Dave Cowens*,C,22,BOS,81,,3076,550,1302,.422,,,,550,1302,.422,.422,273,373,.732,,,1216,228,,,,350,1373
41,Walt Hazzard,PG,28,ATL,82,,2877,517,1126,.459,,,,517,1126,.459,.459,315,415,.759,,,300,514,,,,276,1349
42,Norm Van Lier,SG,23,CIN,82,,3324,478,1138,.420,,,,478,1138,.420,.420,359,440,.816,,,583,832,,,,343,1315
43,Tiny Archibald*,PG,22,CIN,82,,2867,486,1095,.444,,,,486,1095,.444,.444,336,444,.757,,,242,450,,,,218,1308
44,Calvin Murphy*,PG,22,SDR,82,,2020,471,1029,.458,,,,471,1029,.458,.458,356,434,.820,,,245,329,,,,263,1298
45,Jon McGlocklin,SG,27,MIL,82,,2891,574,1073,.535,,,,574,1073,.535,.535,144,167,.862,,,223,305,,,,189,1292
46,Bob Lanier*,C,22,DET,82,,2017,504,1108,.455,,,,504,1108,.455,.455,273,376,.726,,,665,146,,,,272,1281
47,Dick Barnett,SG,34,NYK,82,,2843,540,1184,.456,,,,540,1184,.456,.456,193,278,.694,,,238,225,,,,232,1273
48,Dave DeBusschere*,PF,30,NYK,81,,2891,523,1243,.421,,,,523,1243,.421,.421,217,312,.696,,,901,220,,,,237,1263
49,Johnny Green,PF,37,CIN,75,,2147,502,855,.587,,,,502,855,.587,.587,248,402,.617,,,656,89,,,,233,1252
50,Kevin Loughery,SG,30,BAL,82,,2260,481,1193,.403,,,,481,1193,.403,.403,275,331,.831,,,219,301,,,,246,1237
51,Walt Bellamy*,C,31,ATL,82,,2908,433,879,.493,,,,433,879,.493,.493,336,556,.604,,,1060,230,,,,271,1202
52,Gus Johnson*,PF,32,BAL,66,,2538,494,1090,.453,,,,494,1090,.453,.453,214,290,.738,,,1128,192,,,,227,1202
53,Ron Williams,PG,26,SFW,82,,2809,426,977,.436,,,,426,977,.436,.436,331,392,.844,,,244,480,,,,301,1183
54,Leroy Ellis,C,30,POR,74,,2581,485,1095,.443,,,,485,1095,.443,.443,209,261,.801,,,907,235,,,,258,1179
55,Bingo Smith,SG,24,CLE,77,,2332,495,1106,.448,,,,495,1106,.448,.448,178,234,.761,,,429,258,,,,175,1168
56,Don Kojis,SF,32,SEA,79,,2143,454,1018,.446,,,,454,1018,.446,.446,249,320,.778,,,435,130,,,,220,1157
57,Don Nelson*,SF,30,BOS,82,,2254,412,881,.468,,,,412,881,.468,.468,317,426,.744,,,565,153,,,,232,1141
58,Stan McKenzie,SF,26,POR,82,,2290,398,902,.441,,,,398,902,.441,.441,331,396,.836,,,309,235,,,,238,1127
59,John Johnson,SF,23,CLE,67,,2310,435,1032,.422,,,,435,1032,.422,.422,240,298,.805,,,453,323,,,,251,1110
60,Sam Lacey,C,22,CIN,81,,2648,467,1117,.418,,,,467,1117,.418,.418,156,227,.687,,,913,117,,,,270,1090
61,Neal Walk,C,22,PHO,82,,2033,426,945,.451,,,,426,945,.451,.451,205,268,.765,,,674,117,,,,282,1057
62,Jim Washington,PF,27,PHI,78,,2501,395,829,.476,,,,395,829,.476,.476,259,340,.762,,,747,97,,,,258,1049
63,Wes Unseld*,C,24,BAL,74,,2904,424,846,.501,,,,424,846,.501,.501,199,303,.657,,,1253,293,,,,235,1047
64,Rick Adelman,PG,24,POR,81,,2303,378,895,.422,,,,378,895,.422,.422,267,369,.724,,,282,380,,,,214,1023
65,Bill Bridges,PF,31,ATL,82,,3140,382,834,.458,,,,382,834,.458,.458,211,330,.639,,,1233,240,,,,317,975
66,Bill Bradley*,SF,27,NYK,78,,2300,413,912,.453,,,,413,912,.453,.453,144,175,.823,,,260,280,,,,245,970
67,Dick Garrett,PG,24,BUF,75,,2375,373,902,.414,,,,373,902,.414,.414,218,251,.869,,,295,264,,,,290,964
68,Paul Silas,PF,27,PHO,81,,2944,338,789,.428,,,,338,789,.428,.428,285,416,.685,,,1015,247,,,,227,961
