Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,George Mikan*,C,26,MNL,68,,,678,1584,.428,,,,678,1584,.428,.428,576,717,.803,,,958,208,,,,308,1932
2,Alex Groza,C,24,INO,66,,,492,1046,.470,,,,492,1046,.470,.470,445,566,.786,,,709,156,,,,237,1429
3,Ed Macauley*,C-F,22,BOS,68,,,459,985,.466,,,,459,985,.466,.466,466,614,.759,,,616,252,,,,205,1384
4,Joe Fulks*,PF,29,PHW,66,,,429,1358,.316,,,,429,1358,.316,.316,378,442,.855,,,523,117,,,,247,1236
5,Frankie Brian,G,27,TRI,68,,,363,1127,.322,,,,363,1127,.322,.322,418,508,.823,,,244,266,,,,215,1144
6,Paul Arizin*,SF,22,PHW,65,,,352,864,.407,,,,352,864,.407,.407,417,526,.793,,,640,138,,,,284,1121
7,Dolph Schayes*,F-C,22,SYR,66,,,332,930,.357,,,,332,930,.357,.357,457,608,.752,,,1080,251,,,,271,1121
8,Ralph Beard,G,23,INO,66,,,409,1110,.368,,,,409,1110,.368,.368,293,378,.775,,,251,318,,,,96,1111
9,Bob Cousy*,PG,22,BOS,69,,,401,1138,.352,,,,401,1138,.352,.352,276,365,.756,,,474,341,,,,185,1078
10,Arnie Risen*,C,26,ROC,66,,,377,940,.401,,,,377,940,.401,.401,323,440,.734,,,795,158,,,,278,1077
11,Dike Eddleman,SF,28,TRI,68,,,398,1120,.355,,,,398,1120,.355,.355,244,349,.699,,,410,170,,,,231,1040
12,Fred Schaus,F,25,FTW,68,,,312,918,.340,,,,312,918,.340,.340,404,484,.835,,,495,184,,,,240,1028
13,Vince Boryla,SF,23,NYK,66,,,352,867,.406,,,,352,867,.406,.406,278,332,.837,,,249,182,,,,244,982
14,Bob Davies*,PG,31,ROC,63,,,326,877,.372,,,,326,877,.372,.372,303,381,.795,,,197,287,,,,208,955
15,Larry Foust,C,22,FTW,68,,,327,944,.346,,,,327,944,.346,.346,261,396,.659,,,681,90,,,,247,915
16,Vern Mikkelsen*,PF,22,MNL,64,,,359,893,.402,,,,359,893,.402,.402,186,275,.676,,,655,181,,,,260,904
17,Fred Scolari,PG,28,TOT,66,,,302,923,.327,,,,302,923,.327,.327,279,331,.843,,,218,255,,,,183,883
